DensePolyNN:
experiment,accuracy,nr_linear_layers,learning_rate,beta1,beta2,epsilon,weight_decay
16,0.8287,5,0.0026406619355040413,0.9111146798887219,0.9925874193968253,9.297559477271136e-08,0.0015956160980794333
17,0.8134,5,0.0033720967969245383,0.8518655812372873,0.9259278790095559,2.4637268464170707e-08,0.005193627781522781
17,0.8142,5,0.0033720967969245383,0.8518655812372873,0.9259278790095559,2.4637268464170707e-08,0.005193627781522781
17,0.7906,5,0.0033720967969245383,0.8518655812372873,0.9259278790095559,2.4637268464170707e-08,0.005193627781522781
18,0.7864,6,0.0031927226512165384,0.9923675329838934,0.999267823850995,9.34055458287599e-08,0.01156425791015271
18,0.802,6,0.0031927226512165384,0.9923675329838934,0.999267823850995,9.34055458287599e-08,0.01156425791015271
18,0.7991,6,0.0031927226512165384,0.9923675329838934,0.999267823850995,9.34055458287599e-08,0.01156425791015271
19,0.6621,6,0.004461594510222967,0.6376586797082657,0.9827990402149932,5.800818680833983e-08,0.01616959566686549
19,0.6421,6,0.004461594510222967,0.6376586797082657,0.9827990402149932,5.800818680833983e-08,0.01616959566686549
19,0.6932,6,0.004461594510222967,0.6376586797082657,0.9827990402149932,5.800818680833983e-08,0.01616959566686549
20,0.1,7,0.0003484034844502212,0.982322083347797,0.9745565432127841,7.04841580320679e-08,0.038706642427132
20,0.372,7,0.0003484034844502212,0.982322083347797,0.9745565432127841,7.04841580320679e-08,0.038706642427132
20,0.1,7,0.0003484034844502212,0.982322083347797,0.9745565432127841,7.04841580320679e-08,0.038706642427132
21,0.8268,3,9.356343268562158e-05,0.7451164964073183,0.923564892299013,6.874486765748946e-08,0.005710948766964108
21,0.826,3,9.356343268562158e-05,0.7451164964073183,0.923564892299013,6.874486765748946e-08,0.005710948766964108
21,0.8259,3,9.356343268562158e-05,0.7451164964073183,0.923564892299013,6.874486765748946e-08,0.005710948766964108
22,0.8213,3,0.003827632436078576,0.8301714979898753,0.9023756843609123,8.892104820001121e-08,0.003835790404605366
22,0.817,3,0.003827632436078576,0.8301714979898753,0.9023756843609123,8.892104820001121e-08,0.003835790404605366
22,0.8208,3,0.003827632436078576,0.8301714979898753,0.9023756843609123,8.892104820001121e-08,0.003835790404605366
23,0.778,3,0.0014299356020983577,0.48933719137872334,0.9661351969475067,4.2710063422395757e-08,0.007855738617710861
23,0.7607,3,0.0014299356020983577,0.48933719137872334,0.9661351969475067,4.2710063422395757e-08,0.007855738617710861
23,0.6479,3,0.0014299356020983577,0.48933719137872334,0.9661351969475067,4.2710063422395757e-08,0.007855738617710861
24,0.8313,3,0.0008691631362014486,0.8356182004086183,0.9280535432836169,3.5356613728377134e-08,0.0013097005121820993
24,0.8312,3,0.0008691631362014486,0.8356182004086183,0.9280535432836169,3.5356613728377134e-08,0.0013097005121820993
24,0.8313,3,0.0008691631362014486,0.8356182004086183,0.9280535432836169,3.5356613728377134e-08,0.0013097005121820993
25,0.838,5,0.0020375977274507307,0.9781775632982234,0.9862383057015933,7.35522356040376e-08,0.00030652014795389264
25,0.8325,5,0.0020375977274507307,0.9781775632982234,0.9862383057015933,7.35522356040376e-08,0.00030652014795389264
25,0.8361,5,0.0020375977274507307,0.9781775632982234,0.9862383057015933,7.35522356040376e-08,0.00030652014795389264
26,0.7192,6,0.004444585607569381,0.9846167898848289,0.9078306695941817,1.1511913708786903e-08,0.020926100004373706
26,0.7523,6,0.004444585607569381,0.9846167898848289,0.9078306695941817,1.1511913708786903e-08,0.020926100004373706
26,0.7536,6,0.004444585607569381,0.9846167898848289,0.9078306695941817,1.1511913708786903e-08,0.020926100004373706
27,0.1,15,0.003397262930552659,0.46079158383960683,0.9906236432864409,9.096778622394642e-08,0.022330413101445814
27,0.1,15,0.003397262930552659,0.46079158383960683,0.9906236432864409,9.096778622394642e-08,0.022330413101445814
27,0.1,15,0.003397262930552659,0.46079158383960683,0.9906236432864409,9.096778622394642e-08,0.022330413101445814
