nr,lr,b1,b2,epsilon,weight_decay,energy,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
62,0.036252265,0.823908226,0.879475768,3.29E-08,0.084427731,1743.680355,0.23265,0.3332625
63,0.071327744,0.672122323,0.85782189,9.19E-08,0.002460354,1733.537121,0.1370375,0.3332625
grid,,,,,,,,
0,0.060004,0.46,0.88,1.00E-09,0.06,1672.520949,0.1020375,0.1020375
1,0.060004,0.28,0.96,6.04E-08,0.08,1649.038878,0.1019,0.1020375
2,0.040006,0.64,0.96,8.02E-08,0.06,1660.362023,0.143175,0.143175
3,0.060004,0.28,0.84,2.08E-08,0.04,1656.94295,0.105925,0.143175
4,0.060004,0.46,0.96,1.00E-09,0.04,1657.885457,0.10225,0.143175
5,0.080002,0.1,0.88,4.06E-08,0.02,1660.710054,0.1013875,0.143175
6,1.00E-05,0.64,0.96,2.08E-08,0.02,1675.637556,0.3689,0.3689
7,0.080002,0.46,0.96,1.00E-09,0,1634.430719,0.1021375,0.3689
8,0.080002,0.1,0.88,2.08E-08,0.04,1656.266699,0.1036875,0.3689
9,0.080002,0.46,0.84,6.04E-08,0.08,1651.211288,0.10405,0.3689
10,0.040006,0.64,0.88,4.06E-08,0.02,1659.53206,0.1315875,0.3689
11,1.00E-05,0.82,0.8,1.00E-09,0.06,1677.721354,0.30405,0.3689
12,0.060004,0.64,0.96,8.02E-08,0.02,1664.534259,0.132475,0.3689
13,0.060004,0.46,0.88,4.06E-08,0.04,1654.881422,0.1049,0.3689
14,0.020008,0.28,0.96,2.08E-08,0.04,1656.875049,0.1536875,0.3689
15,0.080002,0.1,0.88,1.00E-09,0.04,1647.655945,0.098625,0.3689
16,0.020008,0.64,0.96,1.00E-09,0.08,1659.838515,0.1494,0.3689
17,1.00E-05,0.82,0.8,6.04E-08,0.06,1674.895894,0.303675,0.3689
18,0.060004,0.1,0.8,2.08E-08,0.08,1653.547207,0.10735,0.3689
19,0.060004,0.82,0.8,2.08E-08,0,1631.394884,0.1095625,0.3689
20,0.020008,0.64,0.96,4.06E-08,0,1636.577216,0.135175,0.3689
21,0.040006,0.82,0.88,4.06E-08,0.06,1656.134485,0.2233125,0.3689
22,0.020008,0.28,0.88,8.02E-08,0.06,1652.352628,0.1256125,0.3689
23,1.00E-05,0.64,0.88,2.08E-08,0.06,1668.6493,0.305975,0.3689
24,0.080002,0.46,0.96,6.04E-08,0.04,1647.190785,0.1018625,0.3689
25,0.040006,0.82,0.84,1.00E-09,0.08,1656.245883,0.2363375,0.3689
26,0.040006,0.28,0.8,2.08E-08,0.04,1648.965303,0.1077125,0.3689
27,0.020008,0.46,0.88,2.08E-08,0,1638.232121,0.104375,0.3689
28,1.00E-05,0.1,0.8,8.02E-08,0.06,1666.953107,0.3034375,0.3689
29,0.040006,0.82,0.8,4.06E-08,0.04,1649.701383,0.168075,0.3689
30,0.080002,0.28,0.8,2.08E-08,0.08,1649.737655,0.1041875,0.3689
31,0.080002,0.46,0.92,1.00E-09,0.06,1638.196471,0.1017125,0.3689
32,0.040006,0.1,0.96,6.04E-08,0.08,1645.588466,0.11395,0.3689
33,0.080002,0.46,0.92,4.06E-08,0.08,1646.606367,0.126125,0.3689
34,1.00E-05,0.46,0.8,4.06E-08,0.04,1667.870948,0.3382625,0.3689
35,1.00E-05,0.46,0.96,4.06E-08,0.08,1667.760295,0.2853,0.3689
