nr,lr,b1,b2,energy,,,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
18,0.020008,0.1,0.8,1611.336643,,,0.102,0.4012375
19,1.00E-05,0.46,0.92,1619.339342,,,0.401925,0.401925
20,0.080002,0.82,0.92,1615.131488,,,0.1030875,0.401925
21,0.080002,0.82,0.88,1611.231888,,,0.10295,0.401925
22,0.020008,0.64,0.92,1642.577015,,,0.162625,0.401925
23,0.020008,0.1,0.96,1632.787657,,,0.1062875,0.401925
24,1.00E-05,0.1,0.8,1644.814423,,,0.3993125,0.401925
25,0.040006,0.28,0.8,1628.15967,,,0.1020125,0.401925
26,0.060004,0.28,0.88,1628.797546,,,0.1022625,0.401925
27,0.060004,0.64,0.84,1633.450329,,,0.12105,0.401925
28,0.080002,0.64,0.8,1631.435312,,,0.10195,0.401925
29,0.060004,0.82,0.84,1629.417688,,,0.10335,0.401925
30,0.080002,0.64,0.88,1629.457731,,,0.111925,0.401925
31,0.060004,0.82,0.96,1629.62384,,,0.1030375,0.401925
32,1.00E-05,0.46,0.84,1642.971038,,,0.4016125,0.401925
33,0.080002,0.82,0.8,1628.109765,,,0.10145,0.401925
34,0.040006,0.1,0.96,1629.249795,,,0.1022375,0.401925
35,0.060004,0.82,0.88,1630.573617,,,0.12805,0.401925
36,0.060004,0.1,0.88,1626.996617,,,0.10265,0.401925
37,0.080002,0.64,0.96,1631.16954,,,0.1068,0.401925
38,1.00E-05,0.28,0.92,1643.959701,,,0.3999875,0.401925
39,1.00E-05,0.82,0.96,1643.837839,,,0.399025,0.401925
40,0.080002,0.46,0.8,1632.350257,,,0.1028,0.401925
41,0.080002,0.46,0.84,1632.251469,,,0.1031375,0.401925
42,0.080002,0.28,0.8,1632.190237,,,0.1026125,0.401925
43,1.00E-05,0.46,0.88,1647.39904,,,0.4024625,0.4024625
44,0.020008,0.64,0.96,1623.537367,,,0.1084875,0.4024625
45,1.00E-05,0.64,0.96,1638.739358,,,0.4013625,0.4024625
46,0.080002,0.46,0.92,1626.587185,,,0.1013125,0.4024625
47,0.040006,0.82,0.84,1635.941475,,,0.2174875,0.4024625
48,0.060004,0.46,0.84,1628.574562,,,0.1017375,0.4024625
49,0.020008,0.1,0.92,1633.399334,,,0.1124875,0.4024625
50,0.020008,0.64,0.8,1637.431086,,,0.1518875,0.4024625
51,0.040006,0.64,0.92,1642.386946,,,0.1674375,0.4024625
52,1.00E-05,0.46,0.8,1639.745903,,,0.4024875,0.4024875
53,0.020008,0.64,0.88,1639.40516,,,0.10725,0.4024875
54,0.060004,0.82,0.92,1641.785575,,,0.1091375,0.4024875
55,0.040006,0.46,0.8,1640.338299,,,0.103,0.4024875
56,0.060004,0.46,0.92,1641.519604,,,0.105125,0.4024875
57,0.020008,0.28,0.84,1643.045621,,,0.10355,0.4024875
58,0.080002,0.46,0.96,1635.980067,,,0.1015375,0.4024875
59,0.060004,0.28,0.84,1637.746608,,,0.1021875,0.4024875
60,0.020008,0.82,0.84,1643.506616,,,0.1728875,0.4024875
61,0.020008,0.28,0.96,1638.692487,,,0.1040125,0.4024875
62,0.080002,0.28,0.96,1641.080255,,,0.1052375,0.4024875
63,0.040006,0.46,0.92,1640.483877,,,0.10825,0.4024875
bayesian_uniform,,,,,,,,
0,0.049758682,0.339556351,0.927482232,1736.940005,,,0.101325,0.101325
1,0.087587218,0.18731209,0.94906801,1631.573878,,,0.1011875,0.101325
2,0.002601156,0.149317801,0.803444869,1654.812917,,,0.274075,0.274075
3,0.00566396,0.994942774,0.805958036,1655.950971,,,0.3927,0.3927
4,0.063339215,0.99324014,0.8038453,1655.552668,,,0.1238875,0.3927
