nr,lr,b1,b2,epsilon,weight_decay,energy,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
62,0.036252265,0.823908226,0.879475768,3.29E-08,0.084427731,215.2786647,0.4108625,0.8266375
63,0.071327744,0.672122323,0.85782189,9.19E-08,0.002460354,211.9227189,0.18945,0.8266375
grid,,,,,,,,
0,0.020008,0.82,0.96,2.08E-08,0.08,219.576655,0.7852125,0.7852125
1,1.00E-05,0.46,0.96,4.06E-08,0.06,209.1609578,0.6744875,0.7852125
2,0.060004,0.28,0.84,4.06E-08,0.08,207.5809498,0.184075,0.7852125
3,0.060004,0.46,0.8,1.00E-09,0.04,208.4638785,0.27025,0.7852125
4,0.080002,0.46,0.88,1.00E-09,0.02,206.726634,0.1972375,0.7852125
5,0.080002,0.28,0.8,6.04E-08,0.02,207.4145389,0.21845,0.7852125
6,0.060004,0.46,0.92,2.08E-08,0.08,207.9128072,0.2512625,0.7852125
7,0.040006,0.28,0.84,8.02E-08,0,202.4309941,0.1845125,0.7852125
8,0.040006,0.1,0.84,8.02E-08,0.04,207.5327041,0.2062625,0.7852125
9,0.040006,0.1,0.8,2.08E-08,0.08,209.4760955,0.3182375,0.7852125
10,0.060004,0.64,0.88,8.02E-08,0,202.1352647,0.1954,0.7852125
11,0.080002,0.1,0.96,6.04E-08,0.08,207.4301938,0.2004375,0.7852125
12,0.080002,0.28,0.96,4.06E-08,0,201.0019291,0.205425,0.7852125
13,0.040006,0.82,0.88,6.04E-08,0.02,210.4823093,0.4806875,0.7852125
14,1.00E-05,0.46,0.84,1.00E-09,0.02,210.9732766,0.767175,0.7852125
15,1.00E-05,0.1,0.92,1.00E-09,0.06,211.9705913,0.674075,0.7852125
16,1.00E-05,0.28,0.92,4.06E-08,0.02,211.2870782,0.767525,0.7852125
17,0.040006,0.28,0.96,2.08E-08,0.08,210.0419348,0.429875,0.7852125
18,1.00E-05,0.64,0.96,8.02E-08,0.02,210.5113532,0.7666125,0.7852125
19,0.040006,0.64,0.84,1.00E-09,0.02,210.0177734,0.641875,0.7852125
20,0.060004,0.1,0.88,1.00E-09,0,201.8943529,0.206325,0.7852125
21,0.040006,0.46,0.96,1.00E-09,0,202.2223156,0.2195875,0.7852125
22,0.040006,0.64,0.92,4.06E-08,0.06,209.0840112,0.542475,0.7852125
23,0.060004,0.64,0.96,6.04E-08,0,202.6168692,0.200125,0.7852125
24,0.060004,0.1,0.84,1.00E-09,0.08,207.8253624,0.239275,0.7852125
25,0.040006,0.64,0.96,1.00E-09,0,204.2670444,0.1901,0.7852125
26,0.060004,0.46,0.84,4.06E-08,0.08,209.1288408,0.3174625,0.7852125
27,0.020008,0.64,0.88,8.02E-08,0.06,211.6069292,0.7344625,0.7852125
28,0.020008,0.46,0.92,8.02E-08,0.02,211.3320217,0.4331375,0.7852125
29,0.080002,0.28,0.84,1.00E-09,0.08,208.0544637,0.318275,0.7852125
30,1.00E-05,0.46,0.88,8.02E-08,0.04,211.290181,0.718375,0.7852125
31,1.00E-05,0.28,0.88,6.04E-08,0.06,211.5726029,0.6749375,0.7852125
32,0.060004,0.28,0.96,8.02E-08,0.02,208.2215103,0.234275,0.7852125
33,0.080002,0.1,0.92,6.04E-08,0.02,207.1678571,0.208,0.7852125
34,1.00E-05,0.28,0.8,4.06E-08,0.04,212.6380036,0.7193125,0.7852125
35,0.040006,0.28,0.8,1.00E-09,0.02,211.059251,0.28475,0.7852125
36,0.020008,0.64,0.8,2.08E-08,0.02,214.6627342,0.7922625,0.7922625
37,0.040006,0.46,0.84,6.04E-08,0,204.8098278,0.2025875,0.7922625
38,0.020008,0.64,0.84,8.02E-08,0.08,212.4139119,0.7292625,0.7922625
39,1.00E-05,0.82,0.88,4.06E-08,0,208.4147772,0.8054875,0.8054875
40,1.00E-05,0.64,0.84,1.00E-09,0.02,213.5714965,0.7667625,0.8054875
41,0.060004,0.64,0.92,8.02E-08,0.02,210.3519857,0.2930625,0.8054875
42,0.080002,0.64,0.92,8.02E-08,0.04,210.9462424,0.2589625,0.8054875
43,0.020008,0.1,0.84,4.06E-08,0.08,212.9233862,0.606675,0.8054875
44,0.020008,0.46,0.84,6.04E-08,0.06,214.0010538,0.7354,0.8054875
45,0.080002,0.28,0.88,1.00E-09,0.06,209.8722853,0.2898,0.8054875
46,0.060004,0.1,0.88,4.06E-08,0.02,208.7261801,0.214225,0.8054875
47,0.040006,0.64,0.88,2.08E-08,0.06,212.5913071,0.5057125,0.8054875
48,0.080002,0.46,0.84,4.06E-08,0.08,211.4245775,0.3694125,0.8054875
49,0.060004,0.82,0.84,1.00E-09,0.08,211.9416668,0.304225,0.8054875
50,1.00E-05,0.1,0.84,4.06E-08,0.02,214.5517498,0.7658125,0.8054875
51,0.040006,0.28,0.92,6.04E-08,0.04,210.7696267,0.3359875,0.8054875
52,1.00E-05,0.1,0.84,1.00E-09,0.04,215.3509372,0.7173625,0.8054875
53,1.00E-05,0.82,0.96,6.04E-08,0,209.1635835,0.805,0.8054875
54,0.060004,0.28,0.96,6.04E-08,0.02,209.9465698,0.202375,0.8054875
