nr,lr,b1,b2,energy,,,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
17,0.020008,0.28,0.96,212.3211306,,,0.3053625,0.8041125
18,1.00E-05,0.28,0.8,210.8676185,,,0.805,0.805
19,0.080002,0.64,0.92,208.5515335,,,0.2225,0.805
20,0.040006,0.64,0.8,209.3054651,,,0.2215375,0.805
21,0.060004,0.82,0.84,209.4786103,,,0.1907125,0.805
22,0.060004,0.1,0.84,207.2118867,,,0.20135,0.805
23,0.080002,0.46,0.92,209.0778083,,,0.173575,0.805
24,0.080002,0.46,0.8,207.0154311,,,0.1765625,0.805
25,0.040006,0.64,0.96,209.6400747,,,0.2252,0.805
26,0.080002,0.46,0.96,206.6603838,,,0.2129125,0.805
27,1.00E-05,0.28,0.92,213.1446409,,,0.803875,0.805
28,0.020008,0.28,0.84,209.8153745,,,0.2216875,0.805
29,0.040006,0.46,0.88,209.1162993,,,0.190975,0.805
30,0.040006,0.46,0.96,205.6896813,,,0.2200625,0.805
31,1.00E-05,0.1,0.84,209.8980039,,,0.8032875,0.805
32,0.080002,0.82,0.84,205.9202599,,,0.21695,0.805
33,0.060004,0.64,0.84,206.5367205,,,0.181325,0.805
34,1.00E-05,0.82,0.92,215.0065033,,,0.804675,0.805
35,0.080002,0.64,0.96,209.5700695,,,0.2282875,0.805
36,1.00E-05,0.64,0.96,214.4649426,,,0.804075,0.805
37,0.040006,0.28,0.96,210.3645929,,,0.1963375,0.805
38,0.060004,0.1,0.92,210.084463,,,0.1932625,0.805
39,0.040006,0.46,0.84,211.2352312,,,0.206375,0.805
40,0.060004,0.1,0.96,208.9997966,,,0.2429375,0.805
41,0.060004,0.28,0.88,209.7899359,,,0.1957875,0.805
42,0.020008,0.64,0.96,213.8000019,,,0.32535,0.805
43,0.080002,0.28,0.88,210.2329718,,,0.224425,0.805
44,0.080002,0.1,0.8,210.1916137,,,0.176725,0.805
45,1.00E-05,0.1,0.92,213.3606779,,,0.8036375,0.805
46,1.00E-05,0.1,0.88,215.5367412,,,0.804025,0.805
47,0.020008,0.28,0.8,213.2401514,,,0.263475,0.805
48,0.020008,0.82,0.8,215.2159195,,,0.362475,0.805
49,0.060004,0.82,0.92,212.9777179,,,0.2843875,0.805
50,1.00E-05,0.46,0.88,216.6493298,,,0.803825,0.805
51,1.00E-05,0.46,0.8,215.9675029,,,0.8045375,0.805
52,0.060004,0.46,0.92,210.6139699,,,0.2272375,0.805
53,0.060004,0.46,0.8,212.7786002,,,0.2102875,0.805
54,1.00E-05,0.1,0.96,216.4848248,,,0.803275,0.805
55,0.040006,0.82,0.96,215.1450333,,,0.223225,0.805
56,0.080002,0.1,0.92,211.815547,,,0.20235,0.805
57,0.080002,0.64,0.84,212.1784241,,,0.1802,0.805
58,1.00E-05,0.46,0.84,217.3954492,,,0.8036625,0.805
59,1.00E-05,0.1,0.8,217.8319888,,,0.8042625,0.805
60,1.00E-05,0.46,0.96,216.4647192,,,0.803925,0.805
61,0.040006,0.28,0.84,213.7884241,,,0.18995,0.805
62,0.060004,0.82,0.96,214.2898962,,,0.1856375,0.805
63,0.080002,0.82,0.92,212.7091502,,,0.211875,0.805
bayesian_uniform,,,,,,,,
0,0.049758682,0.339556351,0.927482232,155.1989452,,,0.2204375,0.2204375
1,0.018591378,0.997816546,0.801484316,153.4832191,,,0.811675,0.811675
2,0.017854133,0.999930492,0.947675023,239.7733198,,,0.2195875,0.811675
3,0.097618765,0.960482834,0.800017616,238.4767588,,,0.230025,0.811675
4,0.000727654,0.99107521,0.814159209,243.4417454,,,0.8418875,0.8418875
5,0.000293736,0.102663745,0.902103247,143.8698896,,,0.84065,0.8418875
6,0.002086672,0.983761924,0.801083498,245.6794345,,,0.8369875,0.8418875
7,0.024116062,0.101546812,0.946473076,238.979639,,,0.2451,0.8418875
8,0.017221545,0.445699112,0.8154391,240.5282651,,,0.2864125,0.8418875
9,0.002197892,0.177497205,0.885395395,242.4219308,,,0.83565,0.8418875
10,0.003250931,0.144567733,0.868227545,242.9915021,,,0.767125,0.8418875
11,0.008945716,0.3688047,0.933733945,243.390648,,,0.7667625,0.8418875
12,0.002708787,0.262842676,0.929417365,246.5016617,,,0.8162875,0.8418875
13,0.001350014,0.463434951,0.886635716,243.6123137,,,0.8279875,0.8418875
14,0.000603354,0.996253577,0.801942465,145.8011666,,,0.846675,0.846675
15,0.004055685,0.744780339,0.899010941,246.2760597,,,0.6664,0.846675
16,0.000764369,0.314631378,0.917360815,242.9964071,,,0.8338125,0.846675
17,0.098666527,0.775301375,0.879429252,239.6559303,,,0.223875,0.846675
18,0.089867456,0.985857329,0.891979736,244.727643,,,0.2206125,0.846675
19,0.009562588,0.67872707,0.866297915,146.5303452,,,0.59465,0.846675
20,0.040742189,0.690207315,0.973550331,146.8370536,,,0.2173125,0.846675
21,0.000560296,0.198558901,0.845460667,146.6110449,,,0.83855,0.846675
22,0.003610283,0.423418967,0.876717129,147.4678846,,,0.816825,0.846675
23,0.002036524,0.139847905,0.939949658,243.5673438,,,0.7711625,0.846675
24,0.001055698,0.432810589,0.850434899,243.3381649,,,0.8289875,0.846675
25,0.000912394,0.233346052,0.879882068,246.7496392,,,0.835475,0.846675
26,0.000551164,0.218873698,0.91045949,243.6207669,,,0.838325,0.846675
